,Ind_ID,Gender,Car_Owner,Property_Owner,Children,Annual_Income,Type_Income,Education,Marital_status,Housing_type,Birthday_count,Employed_days,Mobile_phone,Work_Phone,Phone,Email_ID,Type_Occupation,Family_Members,Label
39,5010010,F,N,Y,1,112500.0,State servant,Incomplete higher,Civil marriage,House / apartment,-10926.0,-3570,1,0,1,0,Secretaries,3,0
40,5010025,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-20782.0,-2321,1,0,0,0,Laborers,2,0
41,5010032,M,Y,Y,0,85500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22121.0,365243,1,0,1,0,Laborers,2,0
42,5010078,M,Y,N,2,157500.0,Working,Secondary / secondary special,Married,Municipal apartment,-12518.0,-1135,1,0,0,0,Cleaning staff,4,0
43,5010089,F,N,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10304.0,-1682,1,0,0,0,Laborers,2,0
44,5010172,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-21300.0,-464,1,0,0,0,Laborers,2,0
45,5010185,M,N,N,1,247500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16797.0,-6583,1,0,1,0,Laborers,2,0
46,5010202,M,Y,Y,0,135000.0,Working,Lower secondary,Married,With parents,-9981.0,-1866,1,0,0,1,Laborers,2,0
48,5010218,F,Y,Y,1,90000.0,State servant,Secondary / secondary special,Married,House / apartment,-17532.0,-8044,1,0,0,0,Medicine staff,3,0
51,5010238,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-16507.0,-4331,1,0,0,0,Drivers,2,0
52,5010303,F,N,Y,0,189000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20233.0,-6218,1,1,1,0,Laborers,2,0
53,5010344,F,N,N,0,216000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22867.0,365243,1,0,0,0,Laborers,2,0
54,5010397,F,Y,Y,1,225000.0,Working,Higher education,Married,House / apartment,-14148.0,-1591,1,1,1,0,High skill tech staff,3,0
55,5010412,F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21854.0,365243,1,0,0,0,Laborers,2,0
56,5010435,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21518.0,365243,1,0,0,0,Laborers,2,0
57,5010498,M,Y,Y,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,-10218.0,-313,1,1,0,0,Laborers,3,0
58,5010526,M,Y,Y,1,450000.0,Working,Higher education,Married,Office apartment,-18476.0,-2625,1,0,0,0,Managers,3,0
59,5010567,F,Y,Y,0,121500.0,Working,Higher education,Married,House / apartment,-10145.0,-1682,1,0,0,1,Sales staff,2,0
60,5010596,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22927.0,365243,1,0,0,0,Laborers,2,0
61,5010683,M,Y,Y,0,292500.0,Working,Higher education,Married,House / apartment,-10297.0,-2231,1,0,0,0,Managers,2,0
62,5010707,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-15862.0,-5061,1,0,1,0,Drivers,2,0
63,5010781,F,Y,Y,1,157500.0,Commercial associate,Higher education,Married,House / apartment,-14474.0,-2259,1,0,0,1,Core staff,3,0
64,5010795,F,N,N,0,45000.0,State servant,Secondary / secondary special,Married,House / apartment,-13941.0,-5334,1,1,1,0,Medicine staff,2,0
65,5010864,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18173.0,-678,1,0,1,1,Core staff,3,1
66,5010865,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18173.0,-678,1,0,1,1,Core staff,3,0
67,5010868,M,Y,Y,1,450000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18173.0,-678,1,0,1,1,Core staff,3,1
68,5010869,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-18173.0,-678,1,0,1,1,Core staff,1,1
69,5010874,F,N,Y,0,45000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20688.0,365243,1,0,1,0,Laborers,2,0
71,5010995,F,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-20074.0,-221,1,0,0,0,Medicine staff,2,0
72,5011032,F,N,Y,1,135000.0,Working,Academic degree,Civil marriage,House / apartment,-17489.0,-7557,1,0,1,0,Laborers,3,0
73,5018461,F,N,Y,1,166500.0,Working,Secondary / secondary special,Married,House / apartment,-20208.0,-8033,1,0,1,0,Laborers,3,0
75,5018498,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-18950.0,-1002,1,1,1,0,Cooking staff,2,1
76,5018501,F,Y,Y,0,191399.3262295082,Working,Secondary / secondary special,Married,House / apartment,-18950.0,-1002,1,1,1,0,Cooking staff,2,1
78,5018505,F,N,N,0,58500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20970.0,365243,1,0,0,0,Laborers,2,0
79,5021214,M,Y,Y,1,225000.0,State servant,Higher education,Married,House / apartment,-12763.0,-2255,1,0,1,0,Core staff,3,0
80,5021267,F,Y,Y,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,-14512.0,-4596,1,0,0,0,Laborers,3,0
81,5021293,F,Y,Y,1,180000.0,Commercial associate,Higher education,Married,House / apartment,-11901.0,-183,1,0,0,1,Core staff,3,0
82,5021303,M,N,N,1,472500.0,Pensioner,Higher education,Married,With parents,-8907.0,-913,1,0,0,1,Laborers,3,1
83,5021310,M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,-16896.0,-248,1,0,0,0,Laborers,2,1
84,5021314,M,N,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16896.0,-248,1,0,0,0,Laborers,2,1
85,5021373,F,N,Y,0,247500.0,Working,Higher education,Married,House / apartment,-22100.0,-578,1,0,0,1,Managers,2,0
86,5021430,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,-18907.0,-2470,1,0,0,0,Sales staff,1,1
88,5021445,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,With parents,-13315.0,-5204,1,1,1,0,Core staff,2,0
89,5021490,M,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10682.0,-609,1,0,1,0,Sales staff,1,0
90,5021551,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20870.0,-1583,1,0,0,0,Medicine staff,2,0
91,5021584,F,N,N,1,40500.0,State servant,Secondary / secondary special,Married,Rented apartment,-13052.0,-1952,1,0,0,0,Cooking staff,3,0
92,5021682,M,N,Y,0,191399.3262295082,Commercial associate,Secondary / secondary special,Separated,House / apartment,-18745.0,-3653,1,0,0,0,Cleaning staff,1,0
93,5021693,M,Y,Y,2,337500.0,Working,Incomplete higher,Married,House / apartment,-12418.0,-1678,1,0,1,0,Laborers,4,0
94,5021730,F,Y,Y,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16971.0,-1375,1,0,0,1,Cleaning staff,3,0
95,5021737,F,N,Y,0,189000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-20858.0,365243,1,0,0,0,Laborers,1,0
96,5021775,F,N,Y,0,292500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-14522.0,-1552,1,0,0,0,Laborers,2,0
97,5021790,F,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,-15021.0,-6879,1,0,0,0,High skill tech staff,4,0
98,5021879,M,Y,N,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,-13095.0,-217,1,0,1,0,Laborers,4,0
99,5021967,F,N,N,1,103500.0,Working,Secondary / secondary special,Married,House / apartment,-11720.0,-1191,1,0,0,0,Sales staff,3,0
101,5021998,M,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18863.0,-1644,1,0,0,1,Laborers,2,1
102,5022015,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-9952.0,-1613,1,0,0,0,Laborers,1,0
104,5022041,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-10049.0,-1405,1,0,0,1,Sales staff,2,0
105,5022047,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,Office apartment,-14917.0,-8157,1,1,1,0,Drivers,2,0
106,5022053,M,N,N,0,202500.0,Working,Higher education,Single / not married,House / apartment,-12811.0,-4327,1,0,0,0,Laborers,1,1
107,5022063,F,N,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,-20135.0,365243,1,0,1,0,Laborers,2,0
108,5022118,M,N,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,-19686.0,-1131,1,0,0,0,Laborers,2,0
109,5022136,F,N,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20681.0,365243,1,0,0,0,Laborers,2,0
110,5022156,F,Y,Y,2,180000.0,Commercial associate,Higher education,Married,House / apartment,-11719.0,-2866,1,0,1,1,Laborers,4,0
111,5022189,F,N,N,1,135000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-15170.0,-7979,1,0,0,0,High skill tech staff,2,0
112,5022243,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-15231.0,-8375,1,0,0,1,High skill tech staff,2,0
113,5022275,M,Y,Y,0,131400.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23646.0,365243,1,0,0,0,Laborers,2,0
114,5022308,F,N,Y,0,90000.0,Working,Secondary / secondary special,Separated,House / apartment,-19042.0,-3319,1,0,0,0,Laborers,1,0
115,5022326,M,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,-21503.0,-1674,1,0,0,1,Core staff,2,0
116,5022343,F,N,Y,0,67500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-23498.0,365243,1,0,0,0,Laborers,1,0
117,5022373,F,N,Y,1,234000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-20693.0,-8036,1,0,0,0,Core staff,2,0
118,5022449,F,N,N,0,315000.0,Working,Secondary / secondary special,Separated,House / apartment,-17570.0,-1978,1,0,0,1,Core staff,1,0
119,5022458,M,Y,Y,1,144000.0,Working,Secondary / secondary special,Married,House / apartment,-8696.0,-1070,1,0,0,1,Drivers,3,0
120,5022571,M,Y,Y,0,202500.0,Pensioner,Higher education,Married,House / apartment,-21721.0,365243,1,0,0,0,Laborers,2,0
121,5022612,M,Y,Y,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,-10144.0,-825,1,0,0,0,Laborers,3,0
122,5022617,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-12022.0,-1674,1,0,0,1,Laborers,2,1
123,5022676,M,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23286.0,365243,1,0,0,0,Laborers,2,0
124,5022730,M,Y,N,3,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15262.0,-1674,1,0,0,0,Managers,5,0
125,5022756,F,N,N,1,202500.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-10800.0,-3166,1,0,0,0,Sales staff,2,0
126,5022761,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-9791.0,-1344,1,0,0,1,Sales staff,2,0
127,5022789,F,N,N,0,112500.0,Working,Secondary / secondary special,Separated,House / apartment,-12369.0,-187,1,0,0,0,Core staff,1,0
128,5022800,F,Y,Y,0,202500.0,Working,Higher education,Widow,House / apartment,-11998.0,-1497,1,0,0,0,Managers,1,0
131,5022833,M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-17262.0,-1617,1,0,0,0,Core staff,2,0
132,5022918,F,N,Y,0,225000.0,Working,Higher education,Single / not married,House / apartment,-12195.0,-2592,1,0,1,0,Managers,1,0
133,5022930,F,N,Y,0,270000.0,Working,Higher education,Married,House / apartment,-9154.0,-187,1,0,0,1,Laborers,2,0
134,5022954,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-18293.0,-521,1,1,0,0,Laborers,2,0
135,5023059,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-11279.0,-508,1,0,0,0,Laborers,3,0
136,5023089,F,N,N,0,202500.0,Working,Secondary / secondary special,Separated,House / apartment,-16868.0,-4161,1,0,0,0,Laborers,1,0
138,5023147,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-21135.0,365243,1,0,0,0,Laborers,1,0
139,5023177,F,N,Y,1,337500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-17738.0,-4710,1,1,1,0,Laborers,3,0
140,5023186,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17235.0,-2700,1,0,1,0,Core staff,2,0
141,5023209,F,N,N,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14438.0,-235,1,0,0,0,Sales staff,3,0
142,5023231,M,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,-17376.0,-1362,1,0,0,0,Laborers,1,0
143,5023261,M,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-21202.0,-1696,1,0,0,0,Drivers,2,0
144,5023280,F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16701.0,-2457,1,0,0,0,Sales staff,2,0
145,5023389,M,Y,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,-13536.0,-2092,1,0,0,0,Core staff,4,0
146,5023410,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21642.0,365243,1,0,0,0,Laborers,2,0
147,5023460,F,Y,Y,0,315000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-21012.0,365243,1,0,0,0,Laborers,1,0
149,5023482,F,N,Y,1,119250.0,Working,Secondary / secondary special,Married,House / apartment,-15931.0,-4404,1,1,1,0,Core staff,3,0
150,5023491,M,Y,Y,0,83250.0,Working,Secondary / secondary special,Married,House / apartment,-20592.0,-6230,1,1,1,1,Laborers,2,0
151,5023527,F,N,Y,0,274500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20459.0,-6930,1,0,0,0,High skill tech staff,2,0
152,5023563,F,N,Y,0,202500.0,Working,Secondary / secondary special,Widow,House / apartment,-17782.0,-9975,1,0,0,0,Core staff,1,0
153,5023587,M,N,N,0,202500.0,Working,Secondary / secondary special,Separated,House / apartment,-14364.0,-6352,1,0,0,0,Laborers,1,0
154,5023616,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17585.0,-235,1,0,0,0,Drivers,2,0
155,5023655,F,N,N,0,225000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-10229.0,-1209,1,0,0,0,Accountants,1,0
156,5023692,F,N,Y,0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-15036.0,-3339,1,0,0,0,Laborers,1,0
157,5023706,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-17733.0,-5622,1,0,1,0,Laborers,2,0
158,5023719,F,Y,Y,0,175500.0,Pensioner,Higher education,Married,House / apartment,-22077.0,365243,1,0,1,0,Laborers,2,0
159,5023724,M,Y,N,1,495000.0,Working,Secondary / secondary special,Married,House / apartment,-10261.0,-235,1,0,1,0,Laborers,3,0
160,5023781,M,N,Y,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-17800.0,-1086,1,0,0,0,Accountants,2,1
161,5023816,F,Y,Y,1,225000.0,Commercial associate,Higher education,Married,House / apartment,-17002.0,-803,1,1,1,0,Managers,3,0
162,5023831,F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12135.0,-925,1,0,0,0,Sales staff,4,1
163,5023838,F,Y,N,0,315000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-19801.0,-1077,1,0,1,0,Core staff,2,0
164,5023877,F,N,Y,0,360000.0,Pensioner,Higher education,Married,House / apartment,-22985.0,365243,1,0,1,0,Laborers,2,0
165,5023914,F,N,Y,2,184500.0,Working,Secondary / secondary special,Married,House / apartment,-9912.0,-1707,1,1,1,0,Sales staff,4,0
166,5023949,M,Y,Y,1,148500.0,Working,Secondary / secondary special,Married,House / apartment,-14962.0,-5176,1,0,0,0,Laborers,3,0
167,5024033,F,N,Y,2,112500.0,Working,Secondary / secondary special,Married,With parents,-14612.0,-397,1,0,0,0,Core staff,4,0
168,5024038,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15459.0,-642,1,0,0,0,Sales staff,2,0
169,5024049,F,Y,Y,1,144000.0,Working,Higher education,Married,House / apartment,-12903.0,-2924,1,0,0,0,Accountants,3,0
170,5024071,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,-15976.0,-854,1,0,0,0,Laborers,2,1
171,5024077,F,Y,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-20432.0,365243,1,0,0,0,Laborers,1,0
172,5024096,F,Y,N,0,126000.0,State servant,Incomplete higher,Single / not married,House / apartment,-11978.0,-5206,1,1,0,0,Core staff,1,0
174,5024103,M,N,Y,0,191399.3262295082,Working,Secondary / secondary special,Married,House / apartment,-20185.0,-2589,1,0,0,0,Security staff,2,0
175,5024148,F,Y,N,0,180000.0,Working,Higher education,Married,With parents,-11380.0,-1007,1,1,1,0,Accountants,2,0
176,5024163,M,Y,Y,3,202500.0,Working,Secondary / secondary special,Married,House / apartment,-13350.0,-1981,1,0,0,0,Laborers,5,0
177,5024213,F,Y,Y,0,540000.0,Commercial associate,Higher education,Married,House / apartment,-15702.0,-185,1,0,1,0,Laborers,2,1
178,5024238,F,N,Y,0,47250.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-21414.0,365243,1,0,1,0,Laborers,2,0
179,5024258,M,N,Y,0,162000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-11495.0,-581,1,0,0,0,Security staff,1,0
180,5024263,F,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-21276.0,-1128,1,0,1,0,Accountants,2,0
181,5024352,M,Y,Y,0,585000.0,Commercial associate,Secondary / secondary special,Married,With parents,-16653.0,-1646,1,0,0,0,Drivers,2,0
182,5024386,F,N,N,0,117000.0,Working,Secondary / secondary special,Married,Municipal apartment,-13494.0,-1281,1,0,0,0,Sales staff,2,0
183,5024412,M,Y,N,0,270000.0,Working,Higher education,Married,House / apartment,-18582.0,-5084,1,0,0,0,Managers,2,0
184,5024527,F,N,Y,0,270000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-20967.0,365243,1,0,1,0,Laborers,1,0
185,5024578,F,N,N,1,90000.0,Working,Secondary / secondary special,Married,With parents,-10253.0,-1462,1,0,0,0,Laborers,3,0
186,5024582,F,Y,Y,2,315000.0,State servant,Secondary / secondary special,Married,House / apartment,-12348.0,-1220,1,0,0,0,Managers,4,0
188,5024592,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,With parents,-8893.0,-1615,1,1,0,0,Drivers,2,0
189,5024604,F,N,Y,0,630000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-21982.0,365243,1,0,1,0,Laborers,1,0
190,5024636,F,N,Y,0,191399.3262295082,Working,Secondary / secondary special,Married,House / apartment,-19922.0,-1128,1,0,0,0,Laborers,2,0
191,5024665,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-14425.0,-4568,1,1,1,0,Laborers,2,0
193,5024670,F,N,Y,1,180000.0,Working,Higher education,Separated,House / apartment,-15113.0,-1585,1,0,0,0,HR staff,2,0
194,5024726,M,N,Y,0,162000.0,Pensioner,Higher education,Married,House / apartment,-23273.0,365243,1,0,1,0,Laborers,2,0
195,5024838,F,N,Y,0,202500.0,Commercial associate,Higher education,Single / not married,House / apartment,-14143.0,-2072,1,0,0,0,Laborers,1,0
196,5024916,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21832.0,365243,1,0,1,0,Laborers,2,1
197,5024917,F,N,Y,0,191399.3262295082,Pensioner,Secondary / secondary special,Married,House / apartment,-21832.0,365243,1,0,1,0,Laborers,2,1
198,5024925,F,N,N,0,33750.0,Pensioner,Higher education,Married,House / apartment,-19054.0,365243,1,0,0,0,Laborers,2,0
199,5025020,F,N,Y,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21512.0,365243,1,0,0,0,Laborers,2,0
200,5025029,F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20013.0,365243,1,0,0,0,Laborers,2,0
201,5025047,F,Y,N,3,112500.0,Working,Secondary / secondary special,Married,House / apartment,-11731.0,-3776,1,1,1,0,Laborers,5,0
202,5025089,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22034.0,365243,1,0,0,0,Laborers,2,0
203,5025127,F,N,Y,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,-11111.0,-3350,1,0,0,0,High skill tech staff,2,1
204,5025161,M,N,N,0,360000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-12523.0,-5145,1,0,0,0,Laborers,2,0
205,5025181,F,N,N,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-22829.0,-2558,1,0,0,0,High skill tech staff,1,0
206,5025207,M,Y,Y,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9901.0,-124,1,0,0,0,Drivers,3,0
207,5025741,F,Y,N,0,216000.0,Working,Higher education,Married,Municipal apartment,-11974.0,-282,1,0,1,0,Sales staff,2,0
208,5025791,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-18506.0,-3630,1,0,0,0,Core staff,2,0
209,5025936,F,N,Y,0,130500.0,Working,Secondary / secondary special,Married,House / apartment,-13520.0,-5488,1,0,0,0,Core staff,2,0
211,5026166,M,Y,Y,0,225000.0,Pensioner,Higher education,Married,House / apartment,-24166.0,365243,1,0,0,0,Laborers,2,0
212,5026177,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-19171.0,-7804,1,1,0,0,Laborers,2,0
214,5026368,M,N,Y,1,112500.0,Working,Higher education,Married,House / apartment,-13682.0,-5460,1,1,1,0,Laborers,3,0
215,5026539,F,N,Y,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-15839.0,-1381,1,0,1,0,High skill tech staff,1,0
216,5028274,F,Y,N,2,360000.0,Working,Incomplete higher,Married,House / apartment,-12730.0,-2213,1,0,0,0,Accountants,4,0
217,5028280,F,N,N,1,157500.0,Commercial associate,Incomplete higher,Married,With parents,-11941.0,-2760,1,0,0,0,Laborers,3,0
218,5028292,F,N,Y,0,292500.0,Working,Higher education,Separated,House / apartment,-19736.0,-12621,1,0,1,0,Core staff,1,0
219,5028302,M,Y,Y,0,360000.0,Commercial associate,Incomplete higher,Married,House / apartment,-19834.0,-477,1,0,0,0,Managers,2,0
